Country,Count
China,327
Vietnam,30
Japan,308
Russia,306
Canada,290
United_Arab_Emirates,25
Italy,352
Germany,440
Kazakhstan,30
Dubai,11
Afghanistan,33
Brazil,207
Hungary,28
Iraq,66
Republic_of_China,36
Australia,289
Peru,42
Tanzania,30
South_Africa,190
Cuba,62
Finland,52
Sweden,82
Czech_Republic,19
Hong_Kong,38
Portugal,70
Mexico,506
Jamaica,55
Zimbabwe,32
Korea,20
Jordan,8
Niger,10
Chile,40
Venezuela,23
Dominican_Republic,27
Greece,148
Greenland,47
Argentina,45
Poland,68
India,515
Maldives,8
Indonesia,63
North_Korea,29
Austria,53
Ireland,137
Denmark,71
Israel,68
United_States,3335
Croatia,16
South_Korea,14
France,614
United_Kingdom,1354
Paraguay,9
Egypt,232
Ecuador,20
Thailand,45
Iran,67
Nepal,8
Panama,25
Pakistan,60
Vatican_City,41
Iceland,78
Ukraine,26
Ethiopia,72
Norway,92
Sierra_Leone,8
Madagascar,56
Libya,20
Uganda,17
Turkey,73
Switzerland,93
Cambodia,15
Republic_of_Ireland,79
Gaza_Strip,21
Philippines,51
Haiti,38
Mauritius,9
Kenya,90
Senegal,13
Tunisia,25
Cameroon,14
Belgium,53
Cyprus,27
Serbia_and_Montenegro,7
Kuwait,11
Moldova,7
Spain,231
Sudan,57
Colombia,57
The_Bahamas,51
Bulgaria,15
Tibet,32
Saudi_Arabia,34
Costa_Rica,27
Uruguay,11
Zambia,24
Taiwan,22
Somalia,27
British_Virgin_Islands,4
Swaziland,14
New_Zealand,86
Laos,3
Lebanon,22
Serbia,16
Morocco,33
Rwanda,15
Papua_New_Guinea,23
Syria,18
Monaco,6
Yemen,8
Romania,26
Malaysia,39
Nigeria,23
Slovenia,17
Chad,29
Bhutan,8
Malta,7
Liechtenstein,6
Liberia,8
Estonia,13
Bangladesh,15
Latvia,6
Slovakia,16
Namibia,14
Suriname,3
Benin,5
Djibouti,5
Saint_Lucia,8
Barbados,29
Bahrain,10
Western_Sahara,23
Puerto_Rico,41
Trinidad_and_Tobago,17
Qatar,13
Burkina_Faso,10
Republic_of_Macedonia,12
Fiji,13
Gabon,6
El_Salvador,9
Turks_and_Caicos_Islands,8
Belize,3
Netherlands,167
Kosovo,7
Guatemala,25
Samoa,7
Vanuatu,7
People%27s_Republic_of_China,167
Bermuda,31
Singapore,19
Tonga,12
Guyana,7
Ghana,16
Bolivia,31
Cape_Verde,7
Abu_Dhabi,6
Dominica,9
Sri_Lanka,25
Eritrea,8
Cocos_%28Keeling%29_Islands,7
Kyrgyzstan,7
Turkish_Republic_of_Northern_Cyprus,5
Mali,9
R%C3%A9union,3
Myanmar,15
Guinea,9
Angola,10
Algeria,27
Togo,7
Cook_Islands,10
Cayman_Islands,4
Burundi,7
Aruba,4
French_Guiana,5
Solomon_Islands,20
Belarus,14
Christmas_Island,12
Central_African_Republic,15
Malawi,9
Mozambique,17
Gal%C3%A1pagos_Islands,11
Oman,2
Brunei,8
Nicaragua,8
Lesotho,7
Uzbekistan,9
Luxembourg,17
Armenia,14
Lithuania,10
Tajikistan,7
Palestinian_territories,5
East_Timor,4
San_Marino,13
Anguilla,4
Netherlands_Antilles,8
Botswana,15
French_Polynesia,8
Azerbaijan,14
Guadeloupe,4
Antigua_and_Barbuda,5
Federated_States_of_Micronesia,4
Montenegro,9
Montserrat,7
West_Bank,10
Falkland_Islands,10
Albania,8
Easter_Island,13
C%C3%B4te_d%27Ivoire,9
Saint_Helena,6
The_Gambia,3
Grenada,4
Turkmenistan,10
Equatorial_Guinea,6
Guinea-Bissau,2
Andorra,10
Guam,14
Mauritania,9
Honduras,11
Abkhazia,6
Georgia_%28country%29,17
Bosnia_and_Herzegovina,7
Tuvalu,8
South_Ossetia,8
Martinique,4
British_Indian_Ocean_Territory,4
Saint_Kitts_and_Nevis,2
Saint_Vincent_and_the_Grenadines,8
